帧号,右踝,左踝,右膝,左膝,骨盆,躯干
172,4.06471553106264,8.288246419442686,39.45742780094265,15.109556848342663,-40.59046431897099,50.66529681061438
173,1.8971809538331328,10.07687616013408,33.03008811040029,14.203180706045693,-40.80847442201741,50.526365577258886
174,-0.2677077387513105,11.556210713582036,26.29287171464555,12.993139314413376,-41.08511778103298,50.41702290608799
175,-1.9858290031291013,12.75715717198974,19.59692599270261,11.649948820561484,-41.41715122728521,50.33601246931026
176,-3.112366933054508,13.851541889363132,13.378253447921985,10.433980883634224,-41.78935562538349,50.28231890057883
177,-3.6951579493661946,15.017058589973722,8.061139796822786,9.57557009284039,-42.178038880217024,50.25458508881161
178,-3.762769224257492,16.255574101715343,3.983667946032326,9.161591998059665,-42.5482013894885,50.24596376807364
179,-3.3010192082638947,17.409646759308266,1.33145928576604,9.135227493255346,-42.848792335592265,50.24583774491599
180,-2.443291164742714,18.357781925980696,0.0931863060223967,9.385327487914363,-43.01264780384041,50.24355857771195
181,-1.6202643554797598,19.09427878849517,0.0526949620824011,9.823351577331108,-42.970119720507846,50.22919739053293
182,-1.384694416580029,19.62408652224017,0.8336441304787617,10.42523679222674,-42.68277032042035,50.19311961710872
183,-2.0383876216280337,19.85716153390653,2.0259038644391776,11.237741485442886,-42.1825772140726,50.12787893304035
184,-3.437872844509052,19.571537724249488,3.336992728374588,12.342446355500602,-41.578250994982426,50.03481199661985
185,-5.092574415646068,18.41232391872116,4.657674540836127,13.84877902818149,-41.00888454174368,49.93000983939264
186,-6.4088671320076624,15.927851794272556,6.02202295135135,15.951503566155736,-40.57631113831779,49.83759857054007
187,-6.898073569797434,11.6890916468042,7.49482107369046,18.916033621335345,-40.309660095115866,49.77361813831152
188,-6.301203083958693,5.561826113592851,9.040732820276157,22.91991382640439,-40.18140563423507,49.739426387516005
189,-4.671873894291211,-2.033382103133487,10.4985538667176,27.89486721477698,-40.14478645089537,49.7273997326752
190,-2.354572360592863,-10.195742875633304,11.691429404723916,33.48946195054636,-40.15854536396701,49.72763871122348
191,0.1458356216457278,-17.859979343651784,12.533083010620365,39.17962765092782,-40.194020741442216,49.73179041726529
192,2.3082872219859825,-24.04995657840637,13.040554714005054,44.474753486501626,-40.23374484745095,49.73440442123872
193,3.775981370651638,-28.116940719471405,13.297162826093423,49.03748935613784,-40.26823011351141,49.73169504508692
194,4.501614948282548,-29.955236069619044,13.424872190079688,52.6683263019399,-40.29327868112566,49.71944798127562
195,4.688237664729256,-29.875474809580744,13.568787805771988,55.31673815194332,-40.30816911305423,49.69256505307604
196,4.62070076956382,-28.163884387001858,13.853188229915222,57.15000277166823,-40.31464589941864,49.64703034632535
197,4.560941150362264,-24.80192602295688,14.330312314058093,58.548752125838114,-40.31603463252509,49.5837363838464
198,4.682161400741776,-19.618621707068165,14.96681362862881,59.95771067757899,-40.31628026259059,49.51423369290565
199,5.0126708889067135,-12.72194829993948,15.64200002972882,61.5880433961424,-40.31935430094508,49.46300858743293
200,5.475268269353383,-4.858939544944848,16.181123181064507,63.12175947311739,-40.328861283472186,49.45375182734732
201,6.008933464682472,2.6047138324064902,16.46559943114179,63.794532639195296,-40.347178764750346,49.48786709266838
202,6.625709818663363,8.185755996556209,16.51279002046352,62.8660970247784,-40.37379540306706,49.54582747246813
203,7.378910305563224,10.936041345950636,16.41443393917146,59.94552604068988,-40.40324767436181,49.61070543943077
204,8.324193934853447,10.7934616949027,16.231697425302816,55.040699864273904,-40.42315177650461,49.6820382722664
205,9.465183253046954,8.530447658417902,15.980711406209243,48.614519914718,-40.41277153900428,49.77026578793964
206,10.701497808442335,5.286198002384673,15.663231540216756,41.50019845001512,-40.34416224137954,49.88307688600605
207,11.86683327631454,1.9111311336063956,15.270618562378688,34.521667452535326,-40.18881929830764,50.0146053647762
208,12.829087968536738,-1.278255482689956,14.785551919258518,28.19283743726562,-39.9327179426244,50.14793972769489
209,13.574529429213738,-4.204761700015484,14.200723657167368,22.702376349258863,-39.60317250782792,50.2659164178298
210,14.209996085558895,-6.710168561728072,13.52845170696659,17.991863917864915,-39.29138207401726,50.35139747296135
211,14.860692916828778,-8.583065254443188,12.779523287820597,13.85128867477284,-39.13301291471185,50.37568158930266
212,15.590643856725244,-9.73109199204113,11.962060496036427,10.104270726952365,-39.2522327369339,50.28985681507813
213,16.402517554613798,-10.207162966072463,11.134866668113917,6.824787801622636,-39.71376569700228,50.02920145867384
214,17.248861106579625,-10.188874283450197,10.433559033825649,4.331058156503252,-40.49347130186789,49.53740304822361
215,18.05819146844884,-10.002346222049864,10.05926381355278,2.922633673633399,-41.459464705666456,48.81942353651054
216,18.74845053508371,-10.031374418570998,10.282103067352253,2.6785573800395976,-42.39313572536942,47.98752919190018
217,19.173080218012217,-10.507882611749514,11.376694515097824,3.4246587451377146,-43.09527275495464,47.21406440623427
218,19.06478814917272,-11.404816870545927,13.48395044041674,4.793285738542243,-43.50202014154527,46.61760205031548
219,18.072742583823324,-12.48948092567382,16.584597629617996,6.401239695319952,-43.67346638038392,46.220654804323104
220,15.911780459416631,-13.426497713701318,20.61297789370838,8.039973088867239,-43.69965281638997,45.989557844593165
221,12.546237705255788,-13.879922784951711,25.540515612643688,9.704803764824604,-43.64538571836284,45.87170396190135
222,8.266345376658583,-13.618881579931816,31.34209768231822,11.463782815515255,-43.54190653118561,45.81580956221532
223,3.579226878746023,-12.620709721447772,37.88234266354235,13.296415496316907,-43.3967127453128,45.78954572202531
224,-0.94579634940223,-11.09448282761326,44.848109902082406,15.034152022470032,-43.21026215576418,45.79094095910166
225,-4.704528356339591,-9.39104834542944,51.82275010918549,16.38298717140023,-42.98760043975326,45.85340138841093
226,-7.157507450862025,-7.885797516727671,58.37599424804174,16.998115919843364,-42.73903169647727,46.04446757949498
227,-8.115001552399473,-6.885954816769406,64.07076458356423,16.645850970209814,-42.47515973243161,46.4507876520193
228,-7.811439138198308,-6.582142883387861,68.5461399371219,15.31236594931188,-42.203584014510376,47.137211837468016
229,-6.662225894078791,-7.035692874765034,71.68646651427095,13.163297991822889,-41.92855949237055,48.06919922970219
230,-5.023922730257146,-8.109764377526233,73.5874258955476,10.50855048625192,-41.65231001373888,49.05312726812885
231,-3.091100335613413,-9.386341473894188,74.32522172341943,7.819601609734714,-41.37712909214924,49.8154426745957
232,-0.9123635515517552,-10.28828714331994,73.88345984930312,5.623480516589801,-41.10769056987461,50.17173035560592
233,1.46750855976366,-10.386889311634013,72.28011983259678,4.256394985570257,-40.85296092326419,50.08125166758916
234,3.78481374189388,-9.632656512685438,69.62449647045358,3.726756190085564,-40.62672028093194,49.58548147443408
235,5.503442860903862,-8.339117641943908,66.01428640345564,3.791563913903363,-40.44506484489024,48.78859862529022
236,6.108693237378743,-6.876885716651406,61.44206406190772,4.1138590075320485,-40.32156861055224,47.88838743311828
237,5.456484116892642,-5.353683261940061,55.8677005287605,4.405607897044694,-40.26644134108509,47.13530033784649
238,3.8099846886665993,-3.6879058724566898,49.36672112038981,4.518777674423367,-40.29339455087897,46.71573085201226
239,1.6253294276525356,-1.9134243104813904,42.18232233017511,4.449203909711854,-40.42620379947951,46.69380914577653
240,-0.595541724383934,-0.234763247399359,34.70683570196656,4.278997863356125,-40.69313612629103,47.03695430192114
241,-2.323949096589332,1.2043892687260769,27.4462856915204,4.126421182353522,-41.10239737453809,47.64089014509558
242,-3.128635638192859,2.4739652114334705,20.897105237872367,4.11426136024994,-41.60654432052329,48.34507424130322
243,-2.8971331207818336,3.748214394303238,15.383923022784415,4.339311073789131,-42.09010343321862,48.98220583644731
244,-1.8984333222976812,5.13278222887884,11.007722195458438,4.852487966951341,-42.41155590672094,49.44819364932209
245,-0.640416324399183,6.599606582645761,7.7114223301616,5.626197922758196,-42.47810251884472,49.72837193435112
246,0.3497945803238196,8.032796601110908,5.372297777592306,6.521004688693273,-42.28937652748868,49.865393442742985
247,0.7043077264236068,9.355317039679264,3.841979679786364,7.343024207233474,-41.91866816856104,49.91504291503283
248,0.2635800602252179,10.590062431050788,2.9290085306626046,7.958848985853558,-41.466479024361306,49.91876374979283
249,-0.9526136495997422,11.770489998242205,2.405372547369054,8.343896509134572,-41.027223050204974,49.897249453246445
250,-2.747123521910181,12.870567451795797,2.075113786444001,8.57709662554612,-40.67083471428955,49.86516279413107
251,-4.760316912971341,13.865098664061817,1.843643272245361,8.844494334554408,-40.42986835545038,49.83959427094342
252,-6.566468060239958,14.776970094445442,1.7117562967576934,9.424758429152428,-40.29773296848527,49.8216133417604
253,-7.82343667892904,15.608573863595998,1.7010557983144197,10.637965000854198,-40.24370368445345,49.7900404530635
254,-8.379619711321382,16.26372900034343,1.814807774855536,12.789292880918714,-40.233321592458,49.725010298596
